Site,sitetype,Scientific name,Present,Common Name
Z,Scrub,Geranoaetus albicaudatus,0,White-tailed Hawk
AA,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
BB,Scrub,Geranoaetus albicaudatus,0,White-tailed Hawk
CC,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
DD,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
EE,Scrub,Geranoaetus albicaudatus,0,White-tailed Hawk
FF,Garden,Geranoaetus albicaudatus,0,White-tailed Hawk
A,Garden,Icterus icterus,1,Venezuelan Troupial
B,Garden,Icterus icterus,1,Venezuelan Troupial
C,Forest,Icterus icterus,1,Venezuelan Troupial
D,Garden,Icterus icterus,1,Venezuelan Troupial
E,Scrub,Icterus icterus,1,Venezuelan Troupial
F,Scrub,Icterus icterus,1,Venezuelan Troupial
G,Forest,Icterus icterus,1,Venezuelan Troupial
H,Forest,Icterus icterus,1,Venezuelan Troupial
I,Forest,Icterus icterus,1,Venezuelan Troupial
J,Garden,Icterus icterus,1,Venezuelan Troupial
K,Garden,Icterus icterus,1,Venezuelan Troupial
L,Scrub,Icterus icterus,1,Venezuelan Troupial
M,Garden,Icterus icterus,1,Venezuelan Troupial
N,Garden,Icterus icterus,1,Venezuelan Troupial
O,Garden,Icterus icterus,1,Venezuelan Troupial
P,Forest,Icterus icterus,1,Venezuelan Troupial
Q,Garden,Icterus icterus,1,Venezuelan Troupial
R,Garden,Icterus icterus,1,Venezuelan Troupial
S,Scrub,Icterus icterus,1,Venezuelan Troupial
T,Forest,Icterus icterus,1,Venezuelan Troupial
U,Garden,Icterus icterus,1,Venezuelan Troupial
V,Garden,Icterus icterus,1,Venezuelan Troupial
X,Garden,Icterus icterus,1,Venezuelan Troupial
Y,Garden,Icterus icterus,1,Venezuelan Troupial
Z,Scrub,Icterus icterus,1,Venezuelan Troupial
AA,Garden,Icterus icterus,1,Venezuelan Troupial
BB,Scrub,Icterus icterus,1,Venezuelan Troupial
CC,Garden,Icterus icterus,1,Venezuelan Troupial
DD,Garden,Icterus icterus,1,Venezuelan Troupial
EE,Scrub,Icterus icterus,1,Venezuelan Troupial
FF,Garden,Icterus icterus,1,Venezuelan Troupial
A,Garden,Icterus nigrogularis,1,Yellow Oriole
B,Garden,Icterus nigrogularis,0,Yellow Oriole
C,Forest,Icterus nigrogularis,0,Yellow Oriole
D,Garden,Icterus nigrogularis,1,Yellow Oriole
E,Scrub,Icterus nigrogularis,0,Yellow Oriole
F,Scrub,Icterus nigrogularis,0,Yellow Oriole
G,Forest,Icterus nigrogularis,0,Yellow Oriole
H,Forest,Icterus nigrogularis,1,Yellow Oriole
I,Forest,Icterus nigrogularis,0,Yellow Oriole
J,Garden,Icterus nigrogularis,1,Yellow Oriole
K,Garden,Icterus nigrogularis,0,Yellow Oriole
L,Scrub,Icterus nigrogularis,1,Yellow Oriole
M,Garden,Icterus nigrogularis,0,Yellow Oriole
N,Garden,Icterus nigrogularis,1,Yellow Oriole
O,Garden,Icterus nigrogularis,0,Yellow Oriole
P,Forest,Icterus nigrogularis,0,Yellow Oriole
Q,Garden,Icterus nigrogularis,0,Yellow Oriole
R,Garden,Icterus nigrogularis,0,Yellow Oriole
S,Scrub,Icterus nigrogularis,1,Yellow Oriole
T,Forest,Icterus nigrogularis,0,Yellow Oriole
U,Garden,Icterus nigrogularis,0,Yellow Oriole
V,Garden,Icterus nigrogularis,0,Yellow Oriole
X,Garden,Icterus nigrogularis,0,Yellow Oriole
Y,Garden,Icterus nigrogularis,0,Yellow Oriole
Z,Scrub,Icterus nigrogularis,0,Yellow Oriole
AA,Garden,Icterus nigrogularis,0,Yellow Oriole
BB,Scrub,Icterus nigrogularis,0,Yellow Oriole
CC,Garden,Icterus nigrogularis,1,Yellow Oriole
DD,Garden,Icterus nigrogularis,0,Yellow Oriole
EE,Scrub,Icterus nigrogularis,0,Yellow Oriole
FF,Garden,Icterus nigrogularis,0,Yellow Oriole
A,Garden,Leptotila verreauxi,1,White-tipped Dove
B,Garden,Leptotila verreauxi,1,White-tipped Dove
C,Forest,Leptotila verreauxi,0,White-tipped Dove
D,Garden,Leptotila verreauxi,1,White-tipped Dove
E,Scrub,Leptotila verreauxi,1,White-tipped Dove
F,Scrub,Leptotila verreauxi,1,White-tipped Dove
G,Forest,Leptotila verreauxi,0,White-tipped Dove
H,Forest,Leptotila verreauxi,1,White-tipped Dove
I,Forest,Leptotila verreauxi,1,White-tipped Dove
J,Garden,Leptotila verreauxi,1,White-tipped Dove
